time,user_id,eeg_1,eeg_2,emg_1,emg_2,blink_l,blink_r,gaze_x,gaze_y,gaze_z,event_label
2026-06-02 09:13:02.448+00,6021713,13.420253992080688,-6.534844636917114,25.959447026252747,23.628830909729004,,,,,,Null
2026-06-02 09:13:02.452+00,6021713,13.416454195976257,-6.545528769493103,25.984346866607666,23.673981428146362,,,,,,Null
2026-06-02 09:13:02.456+00,6021713,13.409525156021118,-6.541505455970764,25.975853204727173,23.65909516811371,,,,,,Null
2026-06-02 09:13:02.46+00,6021713,13.412073254585266,-6.554648280143738,25.95493197441101,23.625344038009644,,,,,,Null
2026-06-02 09:13:02.46+00,6021713,,,,,1,1,0.040852710604667664,0.2311159372329712,-4.161760330200195,Null
2026-06-02 09:13:02.464+00,6021713,13.423874974250793,-6.549865007400513,25.950640439987183,23.63048493862152,,,,,,Null
2026-06-02 09:13:02.468+00,6021713,13.427942991256714,-6.534174084663391,25.961726903915405,23.646309971809387,,,,,,Null
2026-06-02 09:13:02.472+00,6021713,13.41654360294342,-6.530687212944031,25.97084641456604,23.658156394958496,,,,,,Null
2026-06-02 09:13:02.472+00,6021713,,,,,1,1,0.04159381240606308,0.23109593987464905,-4.161430835723877,Null
2026-06-02 09:13:02.476+00,6021713,13.416588306427002,-6.5382421016693115,25.96212923526764,23.635223507881165,,,,,,Null
2026-06-02 09:13:02.48+00,6021713,13.42056691646576,-6.545126438140869,25.942280888557434,23.615553975105286,,,,,,Null
2026-06-02 09:13:02.484+00,6021713,13.421595096588135,-6.5309107303619385,25.926589965820312,23.624181747436523,,,,,,Null
2026-06-02 09:13:02.488+00,6021713,13.418957591056824,-6.521791219711304,25.948137044906616,23.639649152755737,,,,,,Null
2026-06-02 09:13:02.492+00,6021713,13.414755463600159,-6.538599729537964,25.986626744270325,23.656144738197327,,,,,,Null
2026-06-02 09:13:02.496+00,6021713,13.407334685325623,-6.54226541519165,25.97956359386444,23.652568459510803,,,,,,Null
2026-06-02 09:13:02.5+00,6021713,13.402014970779419,-6.539449095726013,25.950774550437927,23.631736636161804,,,,,,Null
2026-06-02 09:13:02.5+00,6021713,,,,,1,1,0.04356463998556137,0.23106876015663147,-4.16089391708374,Null
2026-06-02 09:13:02.504+00,6021713,13.406440615653992,-6.5418630838394165,25.925561785697937,23.614883422851562,,,,,,Null
2026-06-02 09:13:02.508+00,6021713,13.406798243522644,-6.548076868057251,25.94156563282013,23.62288534641266,,,,,,Null
2026-06-02 09:13:02.512+00,6021713,13.418734073638916,-6.547585129737854,25.98269283771515,23.64756166934967,,,,,,Null
2026-06-02 09:13:02.516+00,6021713,13.427942991256714,-6.540164351463318,25.97428858280182,23.638218641281128,,,,,,Null
2026-06-02 09:13:02.516+00,6021713,,,,,1,1,0.044790443032979965,0.23105931282043457,-4.160531520843506,Null
2026-06-02 09:13:02.52+00,6021713,13.428658246994019,-6.545886397361755,25.9539932012558,23.615598678588867,,,,,,Null
2026-06-02 09:13:02.524+00,6021713,13.429909944534302,-6.547361612319946,25.93839168548584,23.60813319683075,,,,,,Null
2026-06-02 09:13:02.528+00,6021713,13.40930163860321,-6.548210978507996,25.947466492652893,23.623019456863403,,,,,,Null
2026-06-02 09:13:02.532+00,6021713,13.396874070167542,-6.540119647979736,25.969281792640686,23.644834756851196,,,,,,Null
2026-06-02 09:13:02.536+00,6021713,13.393297791481018,-6.53471052646637,25.94044804573059,23.642107844352722,,,,,,Null
2026-06-02 09:13:02.54+00,6021713,13.404563069343567,-6.54226541519165,25.936782360076904,23.60934019088745,,,,,,Null
2026-06-02 09:13:02.544+00,6021713,13.428479433059692,-6.541147828102112,25.954753160476685,23.61389994621277,,,,,,Null
2026-06-02 09:13:02.544+00,6021713,,,,,1,1,0.04637985676527023,0.2311403751373291,-4.159635543823242,Null
2026-06-02 09:13:02.548+00,6021713,13.442248106002808,-6.535828113555908,25.976568460464478,23.639380931854248,,,,,,Null
2026-06-02 09:13:02.552+00,6021713,13.422444462776184,-6.54977560043335,25.977641344070435,23.64353835582733,,,,,,Null
2026-06-02 09:13:02.556+00,6021713,13.415917754173279,-6.546333432197571,25.938794016838074,23.615241050720215,,,,,,Null
2026-06-02 09:13:02.556+00,6021713,,,,,1,1,0.04742199182510376,0.2312687486410141,-4.159101963043213,Null
2026-06-02 09:13:02.56+00,6021713,13.39714229106903,-6.541237235069275,25.888949632644653,23.605719208717346,,,,,,Null
2026-06-02 09:13:02.564+00,6021713,13.359099626541138,-6.564125418663025,25.89958906173706,23.612290620803833,,,,,,Null
2026-06-02 09:13:02.568+00,6021713,13.36929202079773,-6.561532616615295,25.96360445022583,23.63651990890503,,,,,,Null
